default
キャミー,
ほら、この谷間❤おっぱいでまた負けたいんでしょ？\nくす❤目が吸い寄せられてる❤\nさ、バトルスタートよ❤,Look at my cleavage.❤ You want to lose to my breasts again; don't you? Giggle~ Your eyes are glued to them~❤ Now, let the battle begin!❤
む、{主人公}じゃない。\n今日もわたしに搾り取られに来たの？,Well; if it isn't {主人公}. Did you come to be milked dry by me again today?
いいわよ、どんどん負けてランクポイントをわたしに貢ぎなさい❤\nそれにチンポどんどんおっぱいに弱くなって、\n闘技場でもぼろ負けするといいわ❤,That's fine. Keep losing and hand over those rank points to me.❤ And as you do; your cock will get weaker and weaker against my bouncing tits; eventually making you lose completely to me in the arena.❤
アンタが早くＤランクに落ちてくるの、楽しみにしてるんだから❤\nさ、今日もおっぱい使って瞬殺してあげる❤,I’m so looking forward to you dropping to D-rank soon❤ Now; I’m going to finish you off quickly with my breasts, just like before~❤
くうぅぅ・・・。悔しいぃ。\n男のくせにわたしになびかないとか、納得いかないわ。\n次やったら絶対わたしが勝つんだから！,Ughhh... How frustrating. I can't believe there's a man out there who wouldn't fall for me! It's just unacceptable. Next time, I'll win for sure!
あは、おっぱいに負けてみっともない❤\nわたしの方が強いってよくわかったかしら❤ザーコ❤,Aha! You were completely overpowered by my tits! How pathetic~❤ Do you get how much stronger I am than you now? Loser.❤
挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。,You have not reached the required rank points for the challenge (current rank points:{ランクポイント})
闘技場での試合をいくつも乗り越え、ついにCランクへの昇格試合だ。,Having overcome several matches in the Colosseum; I've finally reached the rank-up match to reach C-rank.
僕の師匠のランクがBランク。Cランクは師匠のひとつ下のランクになる。今日の試合の相手もきっと一筋縄ではいかないだろう。,My master's rank is B. Since C-rank is just one rank below that; my opponent definitely won't be a pushover.
しかし、僕だってこれまで何人ものカードマスターたちと戦って経験を積んできた。Cランクマスターとはいえ勝てない相手ではないはずだ！,However; I've fought so many cardmasters up until now and gained a lot of experience. Even though they're a C-rank master; they shouldn't be unbeatable!
緊張と高揚で心臓をバクバクとさせながら、僕は試合会場へ向かった。,With my heart pounding from nerves and excitement; I headed to the match venue.
さあ、今日も期待のルーキーの試合が始まった！\n{主人公}選手は闘技場に参戦してからいまのところ、全戦全勝、\n圧倒的な実力で本日の試合を迎えました。,Today; we have another match from the highly anticipated! Ever since  {主人公} entered the arena; it's been a flawless victory streak; showcasing his overwhelming skill which has lead him to his match today!
最初にオクタ選手、ミレーヌ選手を速攻でくだし、\nその後も順調に勝利を重ねています。\nこれがBランクマスターコノハの秘蔵弟子！恐るべき強さです！,After defeating Octa and Mylene; he continued to win effortlessly from there. This secret apprentice of B-rank Master Konoha is an astonishing force indeed!
最初にオクタ選手、ミレーヌ選手に勝利、\nその後も順調に勝利を重ねています。\nこれがBランクマスターコノハの秘蔵弟子！恐るべき強さです！,After swiftly defeating Octa and Mylene; he continued to win effortlessly from there. This secret apprentice of B-rank Master Konoha is an astonishing force indeed!
そして今日は昇格試合！\nこの試合で勝利すれば{主人公}選手は\nDランクからCランクに昇格します！,And today they face another promotion match! If {主人公} wins this match, they will be promoted to C-rank!
おっと、大きな歓声が聞こえます。\n会場の期待も高まっていますね！,The audience's cheers are getting louder. The anticipation in the venue is rising fast!
これまでの戦いで{主人公}選手の\nファンになった人も多いのでしょう。\nさて、そんな大人気の彼を迎えうつのは・・・。,Several spectators seem to have become fans of {主人公} during his many battles. Now, who will face off against this immensely popular fighter...?
Cランクのギャンブラー、\n爆乳バニー使いことキャミー選手です！,It's the C-rank gambler and voluptuous bunny handler; Cammy!
今回もこれみよがしに胸を揺らして対戦者にアピールしています！\nカードマスターの中でも１，２を競う胸の大きさのキャミー選手、\nこの胸に敗れた男性マスターの数は知れません！,Once again, she's flaunting her breasts, shaking them provocatively at her opponent! Cammy; who stands out among cardmasters for having one of the largest chests; has made countless male masters fall to her charms!
しかしそんなキャミー選手ですが、ここのところ\n勝ち星を上げられなくなっています。男性マスターが上位から減って\n勝てる相手が少なくなっているからでしょう。,However; even a skilled master like Cammy has been unable to earn victories in the arena recently. It's likely because the number of male masters at the top has dropped drastically; leaving fewer opponents she can defeat
女性マスターにはほぼ負け通しのキャミー選手としては、\n久しぶりの男性相手の試合。\nぜひとも勝利を得たいところです！,After facing defeat against so many female cardmasters in recent history; this will be Cammy's first fight against a male master in ages! She's certainly looking for a win today!
まったく好き放題言ってくれちゃってさ。\nま、ほんとのことなんだけど。,You just say whatever you like; don't you? Though; I suppose it's true.
わたしはキャミー。\n司会が言っているみたいに、\n女のマスターには全然勝てないCランクのマスターよ。,I'm Cammy. Just like the announcer said; I'm a C-rank master who can't win against female masters at all.
女には勝てないけど・・・。\n男相手には負けたことないわ。\nこの胸で挟んであげるだけで、全員イチコロよ❤,I might not be able to win against a woman... but I've never lost to a man. Just by squeezing their cocks between these big breasts; they all turn totally helpless~❤
あんたもさぁ、気持ちよくなりたいでしょ？\nさっさと挟んであげるから、早く負けてくれる？\nくすくす❤,You want to feel good; too; don't you? I'll wrap them around you quickly; so hurry up and give in... Giggle~❤
キャミーは不意にずいっとこちらへの距離を詰め、胸が僕の体に当たりそうなところまで近づいてきた。,Suddenly; Cammy rushed forward; closing the distance between us and bringing her chest so close that it was almost brushing against my body.
試合前のサービス❤ほら、むぎゅー❤,A little pre-game service.❤ I'll give you a nice; tight squeeze~❤
そういうや否や僕に抱き着いたかと思うと、キャミーは僕のお腹に思いっきりその大きな胸を押し当ててきた！,As she spoke, Cammy wrapped her arms around me; clinging to me and pressing her big breasts firmly against my stomach!
すばやく彼女を振り払った,I quickly worked to shake her off.
胸の感触にうっとりしてしまった,I was entranced by the feel of her breasts.
きゃ、なによ。突き放さなくてもいいじゃない。,Kyah! What was that for? You don't have to push me away like that.
（ちぇっ。このまま腑抜けにしてやろうと思ったのに・・。）,(Tsk. I thought that would turn you into a complete fool...)
開始のコールがある前に過剰な接触は禁止ですよ。\nキャミー選手そういう行為はやめてください。,Before the start of the match; excessive contact is prohibited. Cammy please refrain from such behavior.
（はうう・・・❤なんてやわらかさだ・・・❤）,(Haah...❤ What incredible softness...❤)
（きもちよくて、からだが溶けそう・・・❤ううっ・・・❤）,(This feels so good; my body is melting away...♥ Ohhh...♥)
おおっと、開始のコールがある前に過剰な接触は禁止ですよ。\nキャミー選手離れてください。,Whoa; excessive contact before the start of the match is prohibited. Cammy; please step back.
はいはい、ごめんなさい。,Alright; alright; I'm sorry.
でも、ただの試合前の挨拶よ。\nハグぐらいあいさつでやるでしょ？,But it was just a hug. Just a little pre-match greeting.
（うう・・・❤やばい戦う前からこんなに興奮してたら・・・❤）,(Ugh...❤ If I'm this aroused before the match even begins...❤)
それでは気を取り直して、試合を始めましょう！\n両者位置についてください。,Let's get this match back on track and start the game!  Please take your positions.
（くすくす❤めっちゃおっぱい見てるし。これは楽勝だわ❤）,(Giggle~❤ He's totally staring at my boobs now. This is going to be so easy~❤)
楽しい試合、じゃなかった、気持ちいい試合にしましょうね。くすくす❤,Let's have a fun… No… A pleasurable match~❤
決まったー！！{主人公}選手が勝ちましたー！！,That's it! The match is over! {主人公} has won!
上のランク相手でもこの結果、速攻での勝利です！\nDランクを超スピードで駆け上がってきた実力は\nギャンブルデッキをものともしなかった！,Even against a higher-ranked opponent; the result is the same... A swift victory! Your skill in swiftly climbing up from D-rank didn't falter; even against the gambler's deck!
キャミー選手に翻弄されはしたものの、\n見事僅差を押さえての勝利です！\nＤランクの連勝者は伊達ではない！,Though Cammy toyed with her opponent; he managed to secure a narrow victory! He truly lives up to his D-rank winning streak!
もつれた攻防でしたが\nその中で勝利を勝ち取ったのは{主人公}選手！\n運も実力も兼ね備えている、さすがは期待のルーキーだ！,It was a close battle; but {主人公} emerged victorious!  With both luck and skill on his side; he is indeed a promising rookie!
これで{主人公}選手のＣランク昇格が決まりました！\n男性マスターのランク降格が相次ぐ昨今、これはすごい！,With this; {主人公}'s promotion to C-Rank has been secured! Considering the recent streak of male masters getting demoted; this is impressive!
おっと、観客も割れんばかりの歓声です！\n{主人公}選手の活躍がCランクでも続いていくのか、目が離せません！,The crowd is roaring with excitement! It'll be a thrill to see if the performance of  {主人公} will continue even in the C-rank matches! I can't look away!
くぅーー。わたしはこれでDランクに降格じゃない。\nくやしい～～～。,Kyah! This means I'm demoted to D-rank. How frustrating!
実力で負けた以上、おめでとうってアンタに言ってあげたいけど、\n正直そんな気分じゃないわね。\nせいぜいCランクで頑張りなさい。,Since I lost fair and square; I'd like to say congratulations; but I'm honestly not in the mood. Do your best in C-rank.
もし連敗して落ちてきたときは、\n今度はわたしがアンタを倒して昇格してやるんだから！\n覚悟してなさいよ。,If you come crashing down after losing a bunch; I'll be the one to defeat you and rise up next time! Get ready for it!
闘技場の勝利報酬とCランクに昇格する権利を得た！,I got the victory reward from the coliseum and the right to be promoted to C-rank!
「クエスト」からギルドに向かうことで昇格の手続きを行うことができます。,By heading the guild from the "Quest" option; you can proceed with the promotion process.
そっちが先攻か。,It's your turn first.
ねえ、何もしないでターンエンドしてよ。してくれたら・・・❤,Hey; why don't you just end your turn without doing anything? If you do...❤
この胸で少しの間いいことしてあげる❤,I'll make you feel good with my breasts for a little while~❤
１ターンぐらい誤差よ、誤差。\nどうせわたし、普通のバトルじゃ全然勝てない雑魚マスターだし。\nね、いいでしょ？,It's just a little delay. Just one turn. It should be okay; right? After all; I'm just a weak master who can't win normal battles. 
あは、全然動かないじゃない。\nおっぱいに夢中で頭空っぽになってるってわけ？バカみたい❤,Haha; you're completely frozen. Are you so mesmerized by my breasts that your mind's gone blank? You look like such an idiot~❤
それじゃ、わたしが一方的にアンタのことなぶってあげる❤\nうれしいでしょ？,Well then; I'll rub you mercilessly~❤ Doesn't that make you happy?
わたしが先攻よ。さて、どう動こうかしら。,I’m going first. Now; how should I make my move?
(ううっ・・・・❤),(Uuuh...❤)
ハグされたときのキャミーのおっぱいの感触が思い起こされる！,The sensation of Cammy's breasts when she hugged me floods my mind!
ふふ、ほんとに何もしないでターン終了しちゃうのね❤,Fufu; so you really ended your turn without doing anything; huh?❤
おっぱいで脳みそピンク色に染められて、\n大事な昇格戦を棒にふっちゃう。\nほんと男ってあわれ❤,A pair of tits turns your brain into mush and you blow your important promotion match. You men are so pathetic~❤
くす❤ごめんなさい。\nつよーいあなたからすれば、\n１ターンぐらい誤差よね❤,Hehe❤ Sorry; But for someone as strong as you; losing one turn shouldn't matter too much; right?❤
それじゃあ、ほら、何もしないで突っ立っててくれたご褒美❤,Well then; look here. Since you stood there without doing anything; here's your reward~❤
ぺろーんっておっぱい見せまして～❤,Look; I'll show you my boobs~❤
この爆乳でズボンの上からずりずりしてあげる❤\nって、あら？,I'm going to rub my huge breasts against you through your pants~❤ Oh; what's this?
あっ、ああっ、すごい❤❤おっぱい、おっぱいぃ・・・❤❤,Ah; ahh; amazing...❤ Such lovely breasts… So incredible…❤
ぷっ、くすくす❤信じられない❤\nおっぱい見せられたらだけで射精したわけ？,Pfft. Giggle~❤ Unbelievable!❤ Did you really cum from just seeing my boobs?
期待のルーキーだなんだ言われてるのに、\nあんた雑魚すぎでしょ❤\nこのおっぱいマゾ❤,You’ve been called an up-and-coming rookie; but you’re just a pathetic weakling; aren’t you?❤ A total boob masochist.❤
この爆乳でズボンの上からずりずりしてあげる❤\nほら・・・❤,I'll rub your cock through your pants with these massive boobs of mine.❤ Look...❤
あっ、ああっ、おしつぶされてぇ❤❤だめ、だめぇ・・・❤❤❤,Ah; ahh; you're squeezing so tight…❤ No, no...❤
あは、おっぱい押し付けられただけでイっちゃった❤\nまだ動かしてないんだけど❤\nぷっ、くすくす❤,Ahaha; you came just from having my breasts squished against you~❤ I haven't even moved them yet; though.❤ Pfft. Giggle~❤
期待のルーキーだなんだ言われてるのに、\nこの程度の快感にも耐えられないんだ？\nざーこ❤,They call you the promising rookie; but you can't handle even this level of pleasure? Pathetic loser~❤
はぐううっ・・・・❤きもちいいぃ・・・❤❤,Unghh.... It feels so good...❤
そりゃそうよ。わたし自慢のおっぱいですもの❤\nこのおっぱいで何人ものＣランクマスターを沈めてきたの❤,Of course it does! I'm very proud of these breasts.❤ I've used them to conquer countless C-rank masters~❤
むぎゅむぎゅ動かされて耐えられるかしら❤\nほらほらほらぁ❤,Can you endure if I jiggle and squeeze them like this? Look; look; look~❤
あら、さっきのターンのわたしたちの攻撃を耐えきったのに、\nまた何もしないでターンエンドしちゃうんだ❤,Oh my. You managed to endure our attack during the last turn; but you're just ending your turn without doing anything again?❤
ふふ、チンポ気持ちよすぎて、何もできないわね❤\nせっかく魔力のバリアが頑丈なのに、\n本人がこんな紙くずみたいな理性じゃ、意味がないわ❤,Fufu; your cock feels so good that you can't do anything; is that it? Despite having such a strong magical barrier; if your mind is as flimsy as paper; it's meaningless; right?❤
それじゃあ、ほら、今回も、\n何もしないで突っ立っててくれたご褒美❤,Well then; look. Like before; here's your reward for just standing around doing nothing~❤
この爆乳でまたズボンの上からずりずりしてあげる❤\nって、あら？,With these massive breasts pressing down; I'll rub you right through your pants again~❤ Oh?
さっきからわたしたちに責められて、ほんとに我慢の限界だったんだ❤\nにしても、みじめな負け方ね❤\nきゃはは❤バカみたい❤このおっぱいマゾ❤,You've been enduring our attacks this whole time; but you're clearly at your limit.❤ What a pitiful way to lose.❤ Giggle~❤ How pathetic you look; you breast-loving masochist.❤
この爆乳でまたズボンの上からずりずりしてあげる❤\nほら・・・❤,With these massive tits; I'm gonna rub you through your pants again.❤ Look...❤
さっきしてあげたパイズリを思い出したら我慢できなかったのかしら？\n谷間でびゅーびゅーできてよかったわね❤\nこのザーコ❤,You were thinking about that titjob I gave you earlier and couldn't hold yourself back; could you? You shot so much in my cleavage~❤ You pathetic little thing~❤
もうすっかりわたしのおっぱいに夢中ね❤\nアンタが虜になって、動けなくなったパイズリ❤\n今回もたっぷりしてあげる❤ほらほらほらぁ❤,You're completely entranced by my boobs now; aren't you? You can't resist these full breasts pressing against you~❤ This time; I'll give you even more~❤ Look; look; look~❤
あっ、ああっ、でちゃう❤\nまだ１ターン目なのにぃ・・・❤❤,Ahh, oh... I'm cumming…❤  It's only the first turn; but I… I… ❤ 
あっ、ああっ、でちゃう❤\n昇格戦なのにぃ・・・❤❤,Ah hah.❤  Even though it's your promotion exam; it's coming out~❤ 
きゃは❤チンポ弱すぎ❤\n１ターンどころか１分も持たなかったんじゃない？,Kya-ha!❤  Your cock is way too sensitive~❤  You can't even last a minute; let alone one turn?
降格するかもなんて、無駄な心配だったみたい。\n早漏マゾが相手だとほんと楽ねー❤,I guess worrying about being demoted was just a waste of my time. It's so easy when dealing with a prematurely ejaculating masochist like you❤
あん❤すごい勢い❤\n濃いエナジーこんなに溶かして、\nくすくす❤アンタのチンポわたしのおっぱいに負けちゃったわね❤,Ahh~❤ So much came out. So much mana melted away in a rush of thick cum~❤ Giggle~❤ Your cock couldn't resist my breasts; could it?❤
何にもできないで一方的に搾られて、\nほんとおっぱいマゾってあわれー❤\nきゃはは❤,Cumming so much from being helplessly squeezed... You're such a pathetic boob-masochist~❤ Kyahaha~❤ 
あら、もう終わり？\nどう？わたしのパイズリサービスは楽しめたかしら❤,Oh? Finished already? Well; what did you think? Did you enjoy my breast service?❤ 
くすくす❤その腑抜けた表情を見る限り、\nばっちり効果はあったみたいね❤\nおっぱいにメロメロで足もふらふら❤,Giggle~❤ Judging by that mindless expression on your face; it looks like my technique worked perfectly!❤  Your legs are all wobbly and you're head-over-heels for my boobs~❤ 
さ、次のターンで\nわたしのモンスターと一緒にあなたにとどめを刺してあげる❤,Alright! On my next turn; my monsters and I will finish you off~❤ 
１ターンを捨ててズリズリされた間抜けくんには\nさっさと退場してもらうわね❤\nくすくす❤,You sacrificed a turn to get jerked off.❤  Now I'm gonna knock you out of this fight; you idiot! Giggle~❤ 
あら、今回はこれで終わり？\nくすくす❤振り払ったところで今さら意味ないと思うんだけど❤,Oh? Done already? Giggle~❤ There's no point in shaking me off now. You know that; don't you?❤ 
わたしのおっぱいにメロメロになって、\nどうせ何もできないくせに❤\nこのマーゾ❤きゃははは❤,You've been completely captivated by my breasts.❤  You can't do anything about it now; you pervert.❤  Giggle~❤ 
おっぱいで脳みそピンク色に染められて、\n格下マスターに最初から屈服しちゃう。\nほんと男ってあわれ❤,Your brain turns to mush when you see my boobs; and you end up submitting to somebody weaker than you right away. Honestly; men are so pathetic~❤
あっ、ああっ、でちゃう❤\n前は勝てたのにぃ・・・❤❤,Ah; ahh; I'm going to cum... Even though I could hold back before...
これでポイントがもらえるとか、早漏マゾが相手だとほんと楽ねー❤\nぷぷっ、弱くて助かるわ❤ザーコ❤,Getting points is so easy when dealing with a prematurely ejaculating masochist like you.❤ Giggle~ Not to mention how weak you are; which makes it all the better for me.❤ Loser.❤
ドロー。,I'll draw.
わたしのターンね、ドロー。,It's my turn now. I'll draw!
モンスターをコストにして、{使用カード}を上級召喚！,Now I'll advance summon {使用カード} with this monster!
{使用カード}を召喚！,Summon {使用カード}!
ううっ、あうう・・・❤,Ughh; ahh...❤
ぷっ、あははは❤なにその顔❤\nわざわざ復活したのに、なんでもうとろけ顔なわけ？,Pfft; ahahaha~❤ What's with that face?❤ You just got revived; so why is your face already melting with pleasure?
マゾチンポに気持ちいいのが残ってて全然治らないんだ？\nきゃはは、男ってザコっばかりね❤\nこんな奴が出てきても何の役にも立たないっての❤バーカ❤,Your masochistic cock is still feeling good and it won't go down? Giggle~ Boys really are so pathetic; aren't they?❤ A guy like you won't be any help at all~❤ How stupid.❤
さらにもう1枚発動！,I'll activate another card!
１ターンに１度、{使用カード}の効果を発動！\nコイントスで表が出たら、アンタにぱふぱふをプレゼントするわ。,Once per turn; I activate the effect of {使用カード}! If the coin flip lands on heads; I get to give you a puff-puff.
{使用カード}の効果を発動！\nコイントスで表が出たら、アンタに快楽ダメージをプレゼントよ。,I activate the effect of {使用カード}! If the coin lands heads; I can give you some pleasure damage directly.
破壊されて墓地へ送られたとき、\n{使用カード}の効果発動！\nデッキから「ギャンブルカジノ」を手札に加えるわ。,When this card is destroyed and sent to the graveyard; I activate the effect of {使用カード}; adding "Gambling Casino" to my hand from my deck.
コイントスで表が出たとき、{使用カード}の効果発動！\nバニーモンスターの攻撃力を100ポイントアップよ！,When a coin toss lands on heads; the effect of {使用カード} activates! The attack power of my Bunny-type monsters increases by 100 points!
１ターンに１度、{使用カード}の効果を発動！\nコイントスを３回して表が出た回数に応じて、アンタにぱふぱふ攻撃よ！,Once per turn; I can activate the effect of {使用カード}! I'll flip a coin three times; and for each heads I flip; I'll attack you with a puff-puff!
{使用カード}の効果を発動！\nコイントスを３回して表が出た分、アンタに快楽ダメージよ！,I'll activate the effect of {使用カード}! I'll flip a coin three times; and for each heads... you'll take pleasure damage!
{使用カード}の効果を発動！\nコイントスで表が出たらプレイヤーに効果ダメージよ。\nさあ、あいつにおっぱいの良さを教えてあげなさい。,I activate the effect of {使用カード}! If the coin lands on heads; it deals damage to my opponent directly. Now; go show him the true wonders of big breasts.
{使用カード}の効果を発動！\nコイントスで表が出たらプレイヤーに効果ダメージを与えるわ。\nこの子のおっぱいもかなり気持ちいいわよ。ふふふ❤,I activate the effect of {使用カード}. If the coin flip lands on heads; it deals pleasure damage to my opponent. And these tits feel amazing; I promise. Fufufu~❤
おっぱいに見とれて隙だらけね。魔法カード、{使用カード}を発動！,You're so distracted by my breasts; you're leaving yourself wide open. I activate the magic card; {使用カード}!
ふふ、アンタがおっぱいに見とれている隙に手札を増やさせてもらうわ。魔法カード、{使用カード}を発動!,Fufu; while you were distracted by my breasts; I added more cards to my hand. Magic card; {使用カード}; activate!
永続魔法、{使用カード}を発動！,Continuous Spell Card; activate! {使用カード}!
アンタが攻撃するときコイントスを行うわ。\n表が出た場合、うふふ、ぱふぱふでおもてなししてあげる❤,When you attack; I'll flip a coin. If heads come up… Giggle~ I'll treat you to a "puff-puff" surprise.❤
攻撃宣言時に{使用カード}の効果を発動！\nコイントスで表が出れば、\nアンタのモンスターにぱふぱふのプレゼントよ❤,When you attack; I activate the effect of {使用カード}! If the coin toss lands on heads; your monster gets a special puff-puff present~❤
さあ、コイントスの結果はどうかしら。,Alright; let's see how the coin lands.
{使用カード}を発動！\nこのカードはわたしがコイントスで表を出すたびに\nチャージを１つプラスするわ。,Activating {使用カード}! Every time a coin lands on heads; this card  gets a charge.
チャージを3つ消費すれば\nデッキからバニーモンスターを呼び出せるの。\n巨乳のバニーで、ハーレムにしてあげる❤,I can use three charges to summon a Bunny-type monster from my deck. I'll make sure it's a busty bunny and make a harem just for you~❤
コイントスで表が出たとき{使用カード}の効果を発動！\nチャージを１つプラスするわ。,Since the coin landed on heads; I'll activate the effect of {使用カード}; adding an additional charge.
チャージを３つ消費して{使用カード}の効果を発動。\nデッキからレベル4以下バニーモンスターを特殊召喚よ！,By spending three charges; I'll activate the effect of {使用カード}; and Special summon a level 4 or lower Bunny-type monster from my deck!
ターン終了時に、{使用カード}の効果を発動。\nこのターンバニーがあなたから奪ったライフの分だけ、\nわたしのライフを回復するわ！,At the end of my turn; I'll activate the effect of {使用カード}; and gain LP equal to the amount of damage my Bunny-type monsters dealt to you this turn!
魔法カード{使用カード}を発動！チップを10枚より多く所有しているプレイヤーにバニーたちからのスペシャルサービスよ❤,Activating the magic card {使用カード}! When my opponent has more than 10 chips; they receive a special service from my bunnies~❤
相手がチップを10枚より多く所有しているとき、{使用カード}を発動！バニーたちからのスペシャルサービスを楽しみなさい❤,When my opponent has more than 10 chips; I can activate {使用カード}! Enjoy the special service from my bunnies~❤
魔法カード「{使用カード}」を発動！自分の場に「ギャンブルカジノ」が無い場合にデッキから「ギャンブルカジノ」を手札に加えるわ！,I activate the magic card "{使用カード}"! If I don't have "Gamble Casino" on my field; I can add one from my deck to my hand!
500LP払って魔法カード発動、「{使用カード}」！\nコイントスで勝負よ。\n表が出たら1000回復して２枚ドローさせてもらうわ。,I'll pay 500 LP and activate the Magic Card; "{使用カード};" allowing me to flip a coin! If it's heads; I'll gain 1000 LP and draw two cards.
500LP払って魔法カード発動、「{使用カード}」！\nコイントスで勝負よ。\n表が出たら回復とドローさせてもらうわ。,I pay 500 life points and activate the Magic Card; "{使用カード}"! Let's decide this with a coin toss; shall we? If it lands heads; I get to draw a card and recover my life points.
自分フィールド上に{%%40226}とバニーモンスターが存在するとき、500LP払って魔法カード発動、「{使用カード}」！,When {%%40226} and a Bunny-type monster are on your field at the same time; I can pay 500 LP and activate the Spell Card; "{使用カード}"!
このカードがある限り、コイントスで裏が出ることはなくなるわ。\n４回だけの回数制限付きだけれど、\nたくさんコインで表を出して強い効果を味合わせてあげる！,As long as this card is in play; I'll never lose a coin toss. It has a limit of four uses; but I'll make sure you get to experience my cards' powerful effects by always getting heads!
このカードがある限り、コイントスで裏が出ることはなくなるわ。\n２回だけの回数制限付きだけれど、\nたくさんコインで表を出して強い効果を味合わせてあげる！,As long as this card is in play; I'll never lose a coin toss. It has a limit of two uses; but I'll make sure you get to experience my cards' powerful effects by always getting heads!
装備魔法カード発動！{使用カード}！,Magic card activate! {使用カード}!
魔法カードを発動！{使用カード}！,I activate my magic card! {使用カード}!
トラップカードを発動！{使用カード}！,I activate my trap card! {使用カード}!
このカードがある限り、コイントスで裏が出ることはなくなるわ。\n回数制限と時間制限付きだけれど、\nたくさんコインで表を出して強い効果を味合わせてあげる！,As long as this card is in play; my coin tosses will never land on tails. While there's a limit to how long it stays and how many times it can happen; I'll make sure to let you enjoy the effects of my cards to their fullest!
カードをセットするわ。,I'll set a card.
カードを伏せる。,I'll place a card face-down.
わたしの攻撃で腰砕けにしてあげる。{防御カード}を攻撃！,My next attack will make your knees week! I'll attack {防御カード}!
