default
オクトパスレデイ,Octopus Lady
ほら捕まえた❤\n手足を縛って、チンポにも触手を絡めて❤やりたい放題できちゃうわ。\nふふ、チンポをしごいて、一方的に搾り取ってあげるわ❤,
わたしの前で頭をあげているなんて、生意気。\n地面にひれふしなさい。ほら！,
ふふ、８本の触手にからめとられてあっというまに無様な姿ね。\n逃げられないよう、チンポもたっぷりいじめてあげる❤\n何もできないまま、わたしに精をささげるといいわ！,
あは、踏まれて喜ぶんだ？ 変態❤,
かかとでぐりぐりされているのに、\n痛がるどころかチンポギンギンで喜んじゃってる❤\nほらほら、そのまま射精しちゃいなさい。くすくす❤,
足で踏みつけてイかせてあげるわ❤,
上から踏んでこするだけで、チンポ喜んじゃうんでしょ？\nマゾ豚の相手ってほんと楽❤,
自分はマゾじゃないって？\nあはは、それなら勃起していないで抵抗してみなさいよ。\nほらほらほら！,
あなたのこと踏んであげるわ。喜びなさい？,
足で股間をぐりぐりぐり❤\nあはは、チンポがびくびく跳ねてるわよ❤\nこんなことされてうれしいのね。マゾ豚❤,
わたしの胸で気持ちよくしてあげる❤,
胸なんて手足に比べれば飾りみたいなものだけれど、\nこの飾りが哺乳類の男にはずいぶんと効くのでしょう？\nあは、挟まれた途端に腰が跳ねてる❤,
わたしの巧みな手さばきで、\nあなたのチンポを谷間の中で溺れさせてあげる❤\nほらほらほら❤快楽に抗えるかしら❤,
この触手を使えば色んな責め方ができるのよ。\n例えば、ほら、触手であなたの四肢を拘束。そこから・・・,
隙だらけの性器を、胸で挟んでしごいてあげるの❤\n余っている触手でおっぱいをぎゅって締め付ければ、\n腰砕けの快楽でしょう？,
手を使わないでおっぱいを動かせるから、\n空いた手はあなたの乳首をいじめてあげる❤\nんふふ全身同時に責められて、天国に行きなさい❤,
ふふ、胸で挟まれて喜ぶなんて、\n人間の男は変わってるわよね。\nこのふくらみの何がいいのかしら❤,
ほらあなたも挟まれたらすぐに力が抜けた❤\nやわらかいおっぱいに力を吸い取られてしまうように、\n全身すぐにふにゃふにゃになっちゃう❤,
くすくす❤タコよりもやわらかくなってるんじゃない？\nそんなに気持ちいいのね。ほらほらほら❤\n激しく上下に動かして、すぐエナジーを吐き出させてあげるわ❤,
あら、自ら快楽をねだるだなんて、とても情けない男ね❤\n初試合の勝敗は、もう頭から消えてしまったのかしら。,
でもそれも仕方がないわ。わたしのような美しい女に見下されて、\n耐えられる男なんていないもの❤\nくすくす❤,
ほらどうやってわたしにエナジーを搾り取ってほしいのかしら。\n言ってごらんなさい❤マゾ豚❤,
蛸令嬢の触手愛撫,
蛸令嬢の踏みつけ,
蛸令嬢のパイズリ,
なんでも,You decide
くす、わたしのタコの足で締め付けられたいの？\n人間のくせに変態ね❤,
８本もある触手で同時に責められて、\nさて、何秒耐えられるのかしら。うふふふ❤,
そう、わたしの高貴な足で踏んでほしいの。\nマゾ豚らしい浅ましい願いね❤,
いいわよ、足を乗せてぐりぐりと踏みにじってあげる❤\nわたしの足下に屈服できること、泣いて喜びなさい❤,
あら、わたしの胸で気持ちよくなりたいの？\nふふ、哺乳類ってほんと意味の分からない趣味をしてるわよね❤,
このふくらみでそんなに果てたいのなら、\nいいわ、死ぬほど喘がせてあげる❤,
あら、自ら快楽をねだるだなんて、とても情けない男ね❤\n闘技場で見せた強い姿はどこへ行ってしまったのかしら。,
くす、あっけない❤\n８本もある触手に、手足の少ない下等生物が勝てるわけないのよ。\n快楽に全然抗えなかったわね。ザコ男❤,
くす、陸に上げられた魚みたいに体を跳ねさせてるわ❤\n足で踏みにじってもらえてそんなにうれしかった？\nこのマゾ豚❤,
ふふ、こんなやわらかいふくらみで、みっともなく喘がされちゃって❤\n胸に包まれながらの射精は気持ちよかったかしら？\n全然耐えられなかったわね❤,
ふぅん、やるじゃない。わたしをここまで追い詰めるなんてね。,
……でも、くすくす❤あなたは本当にそれでいいの？\nさっきから、わたしのカラダに\nムラムラときてしまっているのではなくて？,
この胸もこの脚も、男を骨抜きにするわたしの自慢の武器❤\n果たして、それを存分に味わえないままでいいのかしら…❤,
う……。,
ふふ❤ 効果てきめん❤\nほぉら、そのままお馬鹿さんになってしまいなさい…❤,
くっ、ほんとうに強いわね。完敗よ…。,
はい、捕まえた❤,
！！,
あっはは❤\nわたしのカラダに目を奪われて完全に隙だらけだったわよ？\n背後から触手を回していたことに、まるで気づいていなかったわね❤,
このまま触手でいじめてあげてもいいけれど…。\nこのわたしを追い詰めたんですもの。\nあなたには褒美をあげるわ❤,
ほぉら、ぎゅ～～❤\n男を骨抜きにする魅惑のボディを\n濃密なハグでたっぷり味合わせてあげる❤,
う、ああぁ……❤,
ふふ❤顔に胸を押し付けられて幸せ？\nタコの体のように全身ふにゃふにゃじゃない…❤\nわたしのカラダに密着されて幸福なのよね。,
これだけで終わりじゃないわよ❤\nほら、この美脚にも目を奪われていたんでしょう…？❤\n股間にぎゅっとふとももを押し付けて…❤,
ぱぁふぱぁふ❤すぅりすぅり・・・❤,
はひぃっ……❤あっ、ああっ…❤,
くすくす❤間抜けな声❤\nさっきまで勇ましく戦っていた男とは思えないわ。,
上級モンスターであるわたしを追い詰めるほどの力があっても、\nここがこんなに弱くちゃ、結局、話にならない❤\n悲しいけれどこれが男と女の実力差なのよ。,
だらしなく脱力していいのよ。\nほら、身を任せなさい❤\n触手であなたの体を持ち上げておいてあげる❤,
後ろから触手にからめとられて、\n前からはわたしの美貌があなたを包む❤\nふふ、なんて幸せな負け方なのかしら。,
脚はほんの少ししか動かさないわ。でもそれで十分❤\nこのままハグだけで…、わたしのカラダの感触に包まれるだけで、\nイってしまいなさい❤,
あ、う、あぁ…❤,
あは❤ 抱きつかれているだけでイっちゃった❤\n感触だけで射精させてしまう、わたしのカラダも罪なものね❤,
期待のルーキーというだけあって、そこそこ強かったけれど、\n所詮は男ね。くすくす❤\nわたしとの実力差、存分に理解できたかしら。,
体力も回復したし、他の男も全員搾りつくしてあげるわ❤\nさあかかってきなさい。,
くっ、一日に何度も追い詰められるなんて屈辱だわ…。,
でも、追い詰めるだけじゃ無意味…❤\nさっきの男がどうなったのかを見ていたでしょう❤,
ほら❤ あなたも❤,
ふ……っ！,
あら、さすがにかわされちゃった。,
じゃあ これならどうかしら❤ えい❤,
！？,
背後に気が行っている時に、\n急に前に出てこられると、反応が遅れるでしょう？\nくす、後ろに意識を向けてる時点ですでに隙だらけなの❤,
あなたの体に押し付けているおっぱいの感触…❤\nわたしの極上の体、楽しんでいいのよ❤,
惑わされずにとどめを刺した,
胸の感触に思考を止めてしまった,
そんな、この状況から振り払えるなんて……！,
あはは❤ おっぱいに気を取られちゃったわね❤\n警戒していたはずなのに、まんまと触手に手足を捕まえられちゃって❤,
拘束されて身動きできない気分はどうかしら❤　……あら？\nねぇ、これはなに？ 前が大きくなっちゃってるじゃない❤,
うぅ……❤,
くすくす❤\n一回 胸を押し当ててやっただけで、かわいいものね❤,
ふふ❤\nこのわたしを追い詰めたんだから、あなたにもご褒美をあげる❤\n触手で体を持ち上げて……❤,
うぁ……っ❤,
立派なテントを張っちゃっているところを、\nおっぱいで食べてあげるのなんてどうかしら❤,
あ、うぁ、く……❤,
ズボン越しでも、\nチンポでわたしの胸の感触を味わってしまえばたまらないでしょう❤,
ふふ……❤,
…………簡単にイかされる男のくせに、\n何度もわたしをピンチにさせて生意気なのよ❤\nほら、もっと情けない姿を見せなさい❤,
うぅぁ、う、あへぇ……❤,
そうそう❤\n男なんて、わたしの触手に抱きかかえられて\nあへあへ言ってるのがお似合いよ❤,
このままおっぱいでチンポ骨抜きにされてイっちゃいなさい❤\n出せ、射精しろ❤,
あぅ……❤,
……あ～～、すっきりした❤\nふふ❤ わたしとしたことが、ちょっとムキになってしまったかしら❤,
ズボンの上からおっぱい押しつけられておもらし❤\nやっぱりわたしが男なんかに負けるわけがないのよ❤,
あっ、ああっ・・・。,
あら？\n他の子にチャームをかけられているのに、わたしでオナニーするの？,
もしかしてわたしの美しい体に吸い寄せられてしまったのかしら。\nマゾのくせになかなか見る目があるじゃない。くすくす❤,
あら、自分から精を献上しに来るなんてわかっているじゃない。\nわたしの色気を前にして我慢できなくなったのかしら。くすくす❤,
大事な試合を放棄して敵の使い魔でオナニー❤\n恥じらいとか葛藤とか色んなものがぐちゃぐちゃになって、\nとっても気持ちがいいんでしょうね。,
女にあざけられながら、シコシコ、シコシコ…❤\n頑張らなきゃいけないのに、わたしの体を前にして手が止まらない❤,
大事な試合なのにマスターを裏切って敵の前でシコシコ、シコシコ…❤\n攻撃しろって声もあなたの耳には聞こえないみたい…❤,
大事な試合なのにマスターを裏切って敵の前でシコシコ❤\nまだまだ体力に余裕があるのに、チンポ弱くて我慢ができない❤\n自分から負けを選んじゃう❤,
触手で少しおまけしてあげる。\nほら、乳首のところに触手を這わせて…❤,
あひぃっ、あぐっ…❤だめっ…❤,
あは❤ 女みたいな声出しちゃって。\n乳首を触手でぐりぐりされて、そんなによかったの？,
マゾで我慢弱くて、\nそのうえ乳首を責められて喜んじゃうなんて。\n変態すぎて最低ね❤,
あなたはチンポ触ることしか能がないダメ男❤\n闘技場の場で戦うなんて百年早いんじゃないかしら。,
今もこれだけバカにされているのに、\nチンポしごく手が早くなっているもの。\nあはは、マゾって救えない❤,
うっ、ううっ…❤,
悔しいならチンポしこる手止めてみたら？\nほらほら、乳首責められるの好きなんでしょ？\n強めになぶってあげる❤,
はひぃっ、あぐううっ…❤,
あぐぅっ❤はへぇ…❤,
うふふ、乳首で速攻射精❤\nこんなにたくさん出して、弱い男ね。ほんと。,
期待のルーキーは乳首が弱い男でしたって\nみんなに覚えられたんじゃないかしら。\n不名誉な称号おめでとう。くすくす❤,
ほかの男もわたしにひざまずきなさい。\n身の程を知っている男には、きちんとご褒美をあげるわよ。,
あら？\nあなたも他の子にチャームをかけられているのに、わたしでオナニーするの？,
サキュバスよりもわたしの美しい体を選ぶなんて、\nあなたたちマゾのくせになかなか見る目があるじゃない。くすくす❤,
ふふ、あなたもわたしに乳首をいじめられたいの？\n敵の前でひざまずいてオナニーしちゃって、みっともないわ❤,
大事な試合を放棄して敵の使い魔におねだり❤\nその状態で乳首を責められたら、恥じらいとか葛藤とか\n色んなものがぐちゃぐちゃになって、とっても気持ちいいんでしょうね。,
わたしにあざけられながら、自分で一生懸命シコシコ、シコシコ…❤\n頑張らなきゃいけないのに、興奮しすぎて手が止まらない❤,
大事な試合なのにマスターを裏切って敵の前でシコシコ、シコシコ…❤\nこんなに次々仲間に裏切られたら、あのマスターもかわいそう❤,
さあ、言っていた通り、あなたにも触手でご褒美をあげる❤\nほら、乳首のところに触手を這わせて…❤,
あは❤ 女の子みたいな声出しちゃって。\n乳首を触手でぐりぐりされて、そんなにいいのかしら。,
他の仲間を見ていたら我慢できなくなって、\n乳首責めを自分からおねだり❤\n変態すぎて最低ね❤,
チンポをシコシコ触ることしか能がないダメ男❤\n闘技場に挑戦するなんて100年早いんじゃないかしら。,
自分からおねだりしに来たのだものね。\nどれだけバカにされてもこうやって乳首責められたら、\nどうでもよくなっちゃうんでしょう？ 強めになぶってあげる❤,
あなたもこれでイキなさい❤ほら❤,
あぐっ、あぅぅっ…❤,
あっ・・・❤あああっ❤がまんできないっ・・・❤,
くす❤自分から精を献上しに来たと思ったら、\nすぐに果ててしまったわ❤\nずいぶんと限界だったようね❤,
まだ試合が始まってほとんど経っていないのに、\nそんなに我慢できなくなるだなんて。\n理性が弱くて呆れちゃうわ❤,
わたしの美貌を前に男が理性を失うのは仕方がないことよ。\nわたしも罪な女だわ❤うふふ❤,
くす❤また男から献上物ね❤\nみなわたしの美貌の虜になってしまったみたい❤,
ここに立っているだけで男たちを屈服させてしまうだなんて、\nわたしも罪な女❤\n我慢しなくていいわ❤さあほかの男もさっさと屈服してしまいなさい❤,
しょせん男に勝ち目なんてないわ❤\n乳首をいじられて喜んでる雑魚な生き物ですもの。\nくすくすくす❤,
ちょっとわたしのカラダで抱きしめてあげれば、\n堪えきれずにあっという間にどぴゅどぴゅ❤\n情けなくてかわいいものね❤ くすくす❤,
拘束されたままチンポにおっぱい押しつけられて射精❤\nなんて情けないのかしら❤ くすくす❤,
あは❤\nチンポをぬるぬるの触手に捕らわれちゃったらひとたまりもなかったわね❤\nくすくす❤,
あは❤ 足裏をこんなに汚しちゃて…♪\n踏まれてイクなんて変態ね❤ くすくす❤,
おっぱいで挟んであげたらイチコロじゃない❤\nまぁ、わたしの高貴な胸に触れて男が射精を堪えられるわけがないわよね❤\nくすくす❤,
くす、前はまぐれの勝利だったみたいね❤\n乳首をいじられて喜んでるようじゃ、どちらが格上かは明らかだわ。\nくすくすくす❤,
オクタが使う女性モンスターに敗れた僕は、闘技場の砂の上に膝をついていた。,
降り注ぐ観客の視線が痛いものの、絶頂してしまった脱力感から立ち上がることすらできない。,
ふふ❤\n何度見ても、射精してしまった後の男ってのは惨めなものね❤,
ううっ…。くそぉ…。,
悔しがってみせても無駄よ❤うふふふ❤\n情けない男を見下ろすこの瞬間、たまらないわ❤,
愉快そうな様子で勝ち誇るオクトパスレディ。上半身を揺らしながら高笑いをしている。,
あ…………。,
………………うぅ❤,
そんな彼女の豊満な肉体を下から見上げていると、先ほど彼女にイかされてしまったばかりにも関わらず再びペニスが大きくなり始めてしまった。,
いけないことだと理解しつつも、あまりにも刺激的な彼女のボディラインから目をそらすことができない。,
ふふ、どうしたの？そんなに見つめて…❤\n私のこと好きになってしまったのかしら？,
わたしの美貌も罪なものね。立っているだけで男の理性を翻弄して、\n期待のルーキーに自分からオナニーさせて\n負けに追い込んじゃうんですもの。くすくす❤,
足で踏みつけただけであなたをを虜にしてしまう❤\nふふ、わたしも罪な女ね。,
触手で弄ぶだけで男を虜にしてしまう…❤\nふふ、わたしも罪な女ね。,
上級モンスターと渡り合えるぐらいの相手でも、\n体を押し付けるだけで射精させてそのうえ虜にしてしまうなんて…❤\nわたしも罪な女ね。くすくす❤,
ほら、地面にひれ伏しなさい。\nスケベな男なんて全員、\nこのわたしの美貌の前に服従するのがお似合いなのよ❤,
あう……っ！？❤,
射精したばかりなのに足を押し返すぐらい固い…❤\n自分を負かした相手のカラダを見上げて、\nこんなに大きくしてしまったのでしょう？,
あなたのマゾな精神性、カードマスター向きじゃないわね。\nだって「マスター」というより「奴隷」か「ペット」がお似合いだもの❤,
ねえ、期待のルーキーさん？\n地面に横たわってわたしにお腹を向けて、\n足でこんな風にかわいがられるのがお望みなのよね？ほら…❤,
あっ、んあ……っ❤,
くすくす❤ 犬ころみたいにかわいらしい声を上げてしまって❤\nとっても情けない❤\n自分を負かした敵にかんたんに欲情してしまう、浅ましいオスね❤,
いやらしい男の子は、わたしが躾けてあげなければね❤\nほらほら❤\n足の裏でちょっときつく踏まれても気持ちいいのでしょう？へんたい❤,
やめ……っ❤ ん、くぅ…っ❤,
あははは❤\n口ではやめてって言いながら、\n足コキ激しくされて喜んじゃってるじゃない❤,
服従するのがうれしいのよね❤わたしに見下ろされて踏みつけられて、\nそれなのに全身がゾクゾクして…❤\n観客がいて恥ずかしいのに、喘ぎ声が止められないぐらい気持ちいい❤,
ほら、このまま、とどめを刺してあげるわ。\nズボンの中に情けなく精液ぶちまけなさい❤\n観客みんなの前で、男のプライドごと精液と吐き出しちゃうの❤,
ぐりぐりぐりぐり❤\nほら❤ わたしのつま先で射精しろ、ヘンタイ❤,
あ、う……❤ うぁ………っ❤,
う、あぁぅ……❤,
ふっ………………❤他愛ない❤\nもう気絶しちゃったわ❤,
ふぅ、やっぱり強いわね。{自分}。\nあなたのおかげで無事勝てたわ。\nカードに戻りなさい。,
上級モンスターにこれだけ快感を刻み付けられたら、\nもうわたしに勝つことはできないだろうし。\n新人くんもかわいそうに。ふふふ・・・❤,
薄れ行く意識のなか、勝者を告げる司会者のアナウンスがかすかに聞こえ、オクタを称える観客たちの歓声を遠くに聞きながら僕は気絶してしまった。,
それから後日。,
ふふふ❤またクエスト達成の手柄をわたしにくれるの？\nあなたも早くランクを上げたいだろうに、いつも悪いわね。,
それじゃ、ほら。お礼に稽古をつけてあげる。\nDランクの先輩マスターとして、こんなに面倒を見てあげて、\nわたしってやさしいなー。ぷっ、くすくす❤,
また会ったわね、変態❤\n触手に足におっぱい❤\n今日はいったい、どこに負けちゃうのかしら❤,
あっ、はうぅ……❤　あ………っ❤,
オクトパスレディの美貌に敗れた僕は、彼女にすっかり服従してしまった。,
彼女に見下ろされ馬鹿にされながら、足や触手、胸でかわいがってもらうことが自分の生きる意味になってしまったのだ。,
オクタさんはオクトパスレディを簡単には召喚してくれない。僕は自分の成長につながらない雑務同然のクエストをこなしては、その成果だけをオクタさんに譲りつづけた。,
クエスト報酬のお金とランクポイントは、自分の手元には少しも入らない。ただただ時間を空費してはオクタさんに貢ぎ、今のランクに甘んじるだけの日々。そこにAランクを目指していたかつての姿はなく、,
僕はオクトパスレディの心酔者としてすべてを忘れ、あとの人生を過ごすのだった,
