default
サキュバスメイド,Succubus Maid
どうせあとちょっとでイっちゃうんですから。\nくすくす・・・❤,I'm sure it would have taken only a little more before you reached the climax. Ehehe...❤
あん、せっかくなら射精するまで楽しめばいいのに・・・❤,Ah... It would have been fine to go all the way since you had this chance to enjoy my breasts...❤
このおっぱいであと数しごき・・・❤\nびゅーって出したら気持ちいいですよ？,You would have reached an orgasm with just a few strokes...❤ And it would have felt really good.
気持ちいいですか？逃げちゃダメですよ？,Does it feel good? But you should be quick to escape❤
おっぱいでたくさんしごかれて、射精しちゃいましょうね❤,Please reach the climax as I'm stroking your penis with my breasts❤
ほらほらほら❤,There; there; there❤
抵抗はやめて、おっぱいに負けちゃいましょう？,Please cease your resistance and lose to my breasts❤
おちんちんをいじめられたら、すぐに負けちゃいますね❤,It will only take a moment before you lose when I'm stroking your penis❤
腰が震えてますね。気持ちいいの、隠せてません❤,Your hips are shaking. There's no hiding how good this is making you feel❤
早く逃げないと、わたしの勝ちになっちゃいますよ？いいんですか？,I'll win if you don't escape soon❤ Or do you not mind that?
わたし、これ、とっても得意なんです❤たっぷり楽しんでください❤,I'm really confident in my boobjobs❤ Please enjoy this to your heart's content❤
谷間の中に、びゅっびゅっーって出してください❤,Please shoot your load in my breasts❤
ライフポイントはまだまだたくさんあるでしょ？だから大丈夫❤,You have a lot of Life Points remaining; don't you? You should still be fine then❤
もしこのまま動かないでいてくれたら、デュエルのあともたっぷり甘やかしてあげます❤,If you stay still; I'll give you plenty of loving after the duel as well❤
ねえ、もういいでしょう？サレンダー、しちゃいましょ？,Hey; haven't you done enough already? Won't you surrender?
マスターのことなんて忘れて快楽に負けちゃいましょ？,Please forget all about your master and give into the pleasure❤
あなたが負けても別のモンスターが頑張ってくれますよ❤,Even if you lose; the others monsters will be fighting in your stead❤
おちんちんビクビクしてます❤\nもうすぐ出しちゃいそうなんですか？,Your penis is twitching❤ Are you about to reach an orgasm?
いいですよ。次のターン、わたしでオナニーしちゃっても❤\nそのびくびくしちゃっているおちんちん、気持ちよく解放しちゃいましょ？,It's fine to do so❤ You can even go ahead and masturbate to me on your next turn❤ Let's make sure your twitching penis reaches an amazing finish❤
あは❤あと一押しで射精しちゃいますね。,Aha❤ Just one more push and you'll orgasm❤
もっといじめてほしければ、じっとしててくださいね❤\n気持ちよく逝かせてあげます❤,Please stay still if you wish me to keep going❤ I'll help you reach a happy end❤
ふふ、もう射精寸前。\nおっぱいの中でビクンビクン震えています❤,Ehehe. You're already at the edge of orgasm. Your penis is twitching between my breasts❤
おねだりして、わたしのおっぱいで気持ちよーく射精❤しちゃいませんか？,Won't you request me to push you over the edge? Request to reach an amazing orgasm in my breasts❤
あともう一押し、ですね❤,Just one more push❤
そのまま力を抜いて、おっぱいに負けちゃっていいですよ。\nお客様❤,Sir; please go ahead and relax❤ It's fine to lose yourself in my breasts❤
あら？少し挟まれただけで、イキそうなんですか？,Oh my. Are you already near orgasm after only a few squeezes?
次のターンは攻撃しないでじっとしててくださいね❤\n谷間の中で、気持ちよく果てさせてあげます❤,Please don't do anything on your next turn; and I'll grant you an amazing climax in my breasts❤
ううっ・・・。,Uuuh...
くすくす❤なぜご自分でしごかれているのですか？\nわたしに攻撃でもすればいいのに・・・❤,Ehehe❤ Sir; why did you suddenly start touching yourself? That was your chance to attack me...❤
そうやって自分を追い込んで、\nシコシコ❤シコシコ❤\nみっともないですね❤,But instead; you began cornering yourself by stroking your penis❤ That's pathetic❤
あら、馬鹿にされてむしろ興奮していますね？\nペニスがぴくぴく反応していらっしゃいます❤,Oh my❤ Does it make you feel excited when I make fun of you? Your penis twitched just now❤
どうぞ、見ていてあげますから、\n出すまでしっかりしごいてください。,Please go ahead and continue❤ I'll watch you do it; so stroke yourself all the way to an orgasm.
師匠の期待を裏切って、\n気持ちいい射精❤しちゃいましょ？,Betray your master's expectations of you; and bring yourself to an amazing climax❤
マスターを裏切って、\n気持ちいい射精❤しちゃいましょ？,Betray your master; and bring yourself to an amazing climax❤
あん、熱い精液がこんなにたくさん❤\n気持ちよかったですか？お客様❤,Ah❤ That's so much of hot semen❤ Sir; it seems like you really enjoyed yourself❤
他の方もどうぞいらしてください。\n次はわたしのおっぱいをおかずにさせてあげますよ❤うふふ❤,Would anyone else like to masturbate to me as well? The next person gets to do it to my breasts❤ Ehehe❤
あらあら❤本当に来ましたね❤\nおっぱいを見せてくれるって聞いて、我慢できなかったんですか？,Oh my❤ We really have another one❤ Sir; could you not contain yourself when you heard that you could masturbate to my breasts?

戦わないといけないのに、\n敵モンスターの前でシコシコ❤シコシコ❤\n実にみっともないです❤,Even when you should be fighting a battle; you began touching yourself in front of your opponent's monster❤ It's truly pathetic❤
ほら、約束したおっぱいですよ❤お客様❤,Well then... As I promised; here are my breasts❤
え？生で見せてくれないのか、ですって？,Oh? You're asking am I not going to show my bare breasts?
うふふ❤わたしはただ「おっぱいを見せてあげる」と言っただけですよ。\n間近で見せればそれで十分でしょう？,Ehehe❤ I only said that you could masturbate to my breasts❤ Just getting to see them from this close is really exciting; isn't it?
それにほら、こうやって揺らしてあげれば…❤,And wait for it... If I start shaking them in front of you like this...❤
くすくす❤とっても気持ちよくなっちゃうんですよね？,Ehehe❤ You can't help enjoying yourself; can you?
生おっぱいなんていりません。服越しの軽い揺れで十分です❤,There's no need for me to show you my bare breasts. It's already more than effective when I shake them in my uniform❤
ほら、雑魚の戦士さん❤\nおっぱいをたっぷり見ながら、気持ちいい射精しちゃいましょう？,Now then; you small fry figther❤ Please closely stare at my breasts; and stroke yourself to an amazing climax❤
あん、熱い精液がこんなにたくさん❤\nあなたもオナニーなんかで負けちゃいましたね。くすくす❤,Ah❤ That's so much of hot semen❤ That makes you the second gentleman who masturbated himself to a loss❤ Ahaha❤
残りの方もどうぞいらしてください。\nわたしのおっぱい、近くで見せてあげますよ？,Would anyone else to do the same? The next person gets to see my breasts from really close❤
あらあら❤本当に来ましたね❤\nおっぱいを見せてくれるって聞いて、\nあなたも我慢できなかったんですか？,Oh my❤ We really have another one❤ Sir; could you not contain yourself either when you heard that you could masturbate to my breasts?

直接見せてもらえるわけでもないのに、\n物好きですね、お客様❤,It's such a curious thing to do when I'm not even showing my bare breasts❤
ほら、どうぞ、\n前かがみで顔のすぐそばに近づけてさしあげます。\nご堪能くださいませ❤,Then; here you go❤ I'll lean forward so that my breasts are right in front of your eyes❤ Please enjoy this view to your heart's content❤
うふふふ❤明らかにしごく速度が上がりましたね。\nおっぱいで興奮しちゃいましたか？,Ehehehe❤ Your strokes are clearly getting faster❤ Is it that exciting to stare at my breasts?
いいんですよ、もうどうせこのバトルは負けです。\n何人も何人もオナニーで自爆しちゃって、勝てるわけがありません。,Stare at them all you want. This battle is already over; after all. You don't stand a chance after so many gentlemen committed suicice by masturbating to me❤
だから、ほら、たっぷり乳揺れ、楽しみましょうね❤,So; you can go ahead and fully enjoy the sight of my breasts❤ I'll even shake them for you❤
あは❤夢中でしごいちゃってかわいらしい❤,Aha❤ You started stroking yourself in a trance❤ How adorable❤
まともに戦えば少しぐらいは手傷を負わせられたでしょうに、\n敵にエナジーささげて回復までさせちゃって・・・。\n救いようがない人たちです❤,You would have surely been able to wound me if you had fought seriously; but instead you're offering your energy and healing my wounds... All you gentlemen have been hopeless❤###
ほらほらほら❤\n見ててあげますから、そのまましごいて、びゅーって出してください❤\n変態さん❤,Now; please push yourself off the edge❤ I'm watching; so stroke yourself to an orgasm❤ You pervert❤
あん、熱い精液がこんなにたくさん❤,Ah❤ That's so much of hot semen❤
自分から負けちゃう、敗北射精、\n気持ちよかったですか？\nくすくす❤,Did it feel good to bring yourself to a loss orgasm? Ahaha❤
あん、これ以上攻撃しないでください。\nやられてしまいます・・・。,Ah; please don't attack. I'm already down...
もし攻撃しないでくだされば、\nいいこと、してあげますよ？,I'll give you a reward if you don't attack.
ううっ、いじわる,Uuh... Bully.
くす❤ありがとうございます。,Ehehe❤ Thank you very much.
それでは、お約束のご褒美です❤えい❤,Well then; this is the promised reward❤ Here you go❤
気持ちいいですか？\nお顔をおっぱいでたくさんかわいがっててあげますね❤,Does it feel good? I'll give you plenty of face caress with my breasts❤
こうやって押し付けながら、\n上下に動かして・・・❤,I'll press them down; and then move them up and down like this...❤
あうううっ…❤,Aaaah...❤
むにむに❤むにむに❤\nお顔をたっぷりマッサージしてあげます❤,There❤ There❤ I'll massage every corner of your face❤
心がとろけちゃうような快楽マッサージ。\nわたくしのご奉仕存分に楽しんでくださいね❤,It's pleasure massage that melts your mind. Please enjoy my service to your heart's content❤
うふふ❤体がビクンビクンしてます。\nとても満足していただけているようです❤,Ehehe❤ Your body is trembling. You're looking really satisfied.
直接おちんちんを触っているわけでもないのに、\n気持ちよすぎてイっちゃいそうなんですか？お客様。,Even when there is nothing touching your penis; is it feeling so good that you're about to reach an orgasm?
あっ、ああっ❤も、もうダメ❤こんなのっ…❤,Ah❤ Aah❤ I-I can't... It's too much...❤
なら、どうぞ。果ててください❤\nぎゅーってお顔を抱きしめてあげます❤,If that's the case; please go ahead and reach it❤ I'll hold your face really tightly❤
おっぱいに包まれながら気持ちいい最後を、迎えてくださいね❤\nほら、ぎゅー❤,Please reach an amazing end in my breasts❤ Here you go: Squeeze❤
んふふ❤おいしい精液ありがとうございます。\nおかげで傷もすっかり直ってしまいました❤,Ehehe❤ Thank you for your delicious semen. It healed all my wounds❤
体中の力を抜いておっぱい射精❤\n気持ちよかったですか？お客様❤,Sir❤ Did it feel good orgasm in my breasts as all the strength left your body?❤###
ううっ、思った以上にやりますね・・・。,Uuh... You're stronger than I expected...
おかげで服もボロボロ、このままでは負けてしまいます…。,My clothes are torn as well. I'll lose at this rate...
見てください。この服のところ。\n破けて乳首が見えちゃいそうですね。,Please look at these tears on my uniform. Even my nipples are nearly showing.
きゃあ、ううっ、おっぱいに興味ありませんでしたか。,Kyah! Uuuh... Did you have no interest in breasts?
ふふ❤吸い寄せられるみたいに見てますね。隙だらけです。,Ehehe❤ You're staring at the tears so hard and leaving yourself open❤
ほら、おっぱい揺らしながらそばまで行っちゃいますね。\n動いちゃだめですよ？,I'll come to you while shaking my breasts❤ Please don't move from that spot❤
はい、捕まえた❤,There❤ I've caught you❤
こうやって押し付けながら、上下に動かして・・・❤,I'll press them down on you like this; and then move up and down...❤
むにむに❤ぱふぱふ❤\nお顔をたっぷりマッサージしてあげます❤,There❤ There❤ I'll massage every corner of your face❤
うふふ❤体がビクンビクンしてます。\nとっても満足していただけているようです❤,Ehehe❤ Your body is trembling. It looks like this is leaving you really satisfied❤
直接おちんちんを触っているわけでもないのに、\n気持ちよすぎてイっちゃいそうなんですか。お客様。,Sir; does it feel so good that you're about to reach an orgasm even when there isn't anything touching your penis?
おっぱいに包まれながら気持ちいい最後を、\n迎えてくださいね❤\nほら、ぎゅー❤,Please reach a pleasureful end in my breasts❤ Now❤ Squeeze❤
んふふ❤おいしい精液ありがとうございます。\nおかげで傷もすっかり治ってしまいました❤,Ehehe❤ Thank you for the delicious semen. All my wounds are healed with it❤
試験のことを忘れながら、\n体中の力を抜いておっぱい射精❤\n気持ちよかったですか？お客様❤,Sir❤ Did it feel good orgasm in my breasts and forget about your master's trial?❤
マスターのことを忘れながら、\n体中の力を抜いておっぱい射精❤\n気持ちよかったですか？お客様❤,Sir❤ Did it feel good orgasm in my breasts and forget about your master?❤
あら、わたくしのご奉仕をご所望なのですか？\nくすくす❤お師匠様に実力を見せる機会だというのに、\nそんなおねだりをしてしまうんですね❤,Oh my. Sir; are you asking me to service you? Ehehe❤ To that you would request such a thing during your chance to display your strength to your master❤
あら、わたくしのご奉仕をご所望なのですか？\nくすくす❤マスターの大事な試験の場だというのに、\nそんなおねだりをしてしまうんですね❤,Oh my. Sir; are you asking me to service you? Ehehe❤ To think that you would request such a thing while your master is in the middle of an important trial.
お客様はどのような行為をお望みなのでしょうか。\n胸で挟んでほしいですか？それとも手でしごいてほしいですか？\nどうぞ、ご希望をお申しつけください❤,What kind of service are you looking for? Would you like me to squeeze you with my breasts? Or would you like me to stroke you with my hands? Please tell me however you would like it❤
メイドのパイズリ,Boobjob
メイドのぱふぱふ,Puff-Puff
メイドの手コキ,Handjob
くす❤この胸で気持ちよくなりたいのですね❤\nかしこまりました❤それでは淫魔のパイズリご奉仕を、\n存分にお楽しみください❤,Ehehe❤ You would like to feel good with my breasts? Then; I'll do as you wish❤ Please enjoy it to your heart's content as I service you with a succubus boobjob❤
くす❤わたしの胸で顔を甘やかしてほしいのですか？\nかしこまりました❤それではわたしの柔らかいおっぱいで、\n存分にぱふぱふ❤とさせていただきますね❤,Ehehe❤ You would like to feel my breasts on your face? Then; I'll do as you wish❤ Please enjoy my soft breasts to your heart's content❤
ふふふ❤手で気持ちよくしてほしいのですか？\nかしこまりました❤それでは手袋でシコシコと扱かせていただきます❤\n存分にお楽しみくださいませ❤,Ehehe❤ You would like to feel good with my hands? Then; I'll do as you wish❤ I will stroke you with my gloved hands❤ Please enjoy it to your heart's content❤
うふふ❤わたくしのパイズリご奉仕ですぐに果ててしまいましたね❤\nサキュバスのおっぱいは柔らかかったですか？くすくす❤,Ehehe❤ You reached orgasm in my boobjob service instantly❤ My succubus breasts felt really good; didn't they? Ehehe❤
くす❤最後にビクンっと跳ねて射精されてしまわれました❤\nメイドのおっぱいで息ができなくなるほどぱふぱふされるのは\n幸せでしたか？満足していただけたようです❤,Ehehe❤ You reached an orgasm with one big final jump❤ Was it pure bliss to get puff-puff'd in a maid's breasts until you were out of breath? You look satisfied; at least❤
うふふ❤やはり殿方はしこしことさわられると、あまり耐えられませんね❤\n腰を突きだしながらこんなに勢いよく射精して、\n淫魔相手にそのような弱さではこの先大変ですよ❤,Ehehe❤ As expected; gentlemen won't last long in my hands❤ You'll have a tough time facing succubi in the future when you're weak enough that you can't help ejaculating with such a force with your hips shot forward❤
うふふ。わたしのご奉仕はどうでしたか？\n気持ちよく敗北出来て、よかったですね。お客様❤,Ehehe❤ Sir; how did you like my services? It felt amazing to lose while experiencing such pleasure; didn't it?
