default,
わたしのおっぱいに見とれているんでしょう？ここだけ柔らかそうですものね。くすくす❤,You're admiring my tits; aren't you? This place in particular looks quite soft doesn't it? *Giggle*❤
わたしの胸に挟まれて力が出ませんか？とってもやわらかいですよね。,Does being trapped between my tits make you feel powerless? They're incredibly soft; aren't they?
この胸は防御力を犠牲にしてあえて露出させているんです。その方が男相手の勝率がいいものですから❤,I've deliberately sacrificed my defense in order to expose my breasts like this. The increased win rate against men makes it worth it~❤
胸に夢中になった男はこうして挟んでずり上げてしまえば、抵抗することもできない❤今回も楽勝のようですね。ふふふ❤,Once I give a man's cock an upwards stroke between my breasts like this; they instantly become powerless to stop me~❤ It seems this will be an easy victory again.❤ Fufufu.❤
うふふ、わたしの胸から目が離せませんか？すっかり棒立ちになっていますよ。,Ufufu~ Can't take your eyes off my breasts; can you? I can clearly see your dick is hard and erect~
そんな状態じゃあ、ほら、こんなに簡単に挟めちゃう❤おっぱいで捕まえられちゃいましたね。,If your dick is already like that; then it can be easily trapped between my breasts like this~❤ 
おっぱい好きのあなたは、もう戦う気力なんて湧かないのでしょう？さあ、たくさん扱いてあげますからそのまま果ててしまってください。くすくす❤,A breast lover like you no longer has the will to fight; right? Come; I'll stroke your dick between my breasts over and over until you decide to empty your load for me~ *Giggle*
ふふふ、マスターさんがそんな目で敵のことを見ていていいんですか？おっぱいに釘付けになっているのがバレバレですよ❤,Fufufu. Is it okay to be oogling your enemies like that; Mr. Cardmaster? It's obvious your eyes are glued to my breasts~❤
この胸でパイズリされたいんでしょう？ほら、素直になってください。無抵抗でいればたくさん挟んであげますから。くすくす❤,You want to have your dick massaged between my tits; don't you? Come on; be honest with yourself~ Don't resist; and I'll give your dick a good tittyfucking~ *Giggle*❤
そんな目で敵のことを見ていていいんですか？おっぱいに釘付けになっているのバレバレですよ❤,Fufufu. Is it okay to be oogling your enemies like that? It's obvious your eyes are glued to my breasts~❤
この胸でパイズリされたいんでしょう？ほら、素直になってください。無抵抗でいればたくさん挟んであげますからね。くすくす❤,You want to have your dick massaged between my tits; don't you? Come on; be honest with yourself~ Don't resist; and I'll give your dick a good tittyfucking; alright? *Giggle*❤
戦わずに楽しいことをしませんか？そう、この胸であなたのペニスを可愛がってあげます。,Why don't we stop fighting and have some fun? I'll lovingly caress your penis between my breasts.
うふふ❤言われて本当に武器を捨ててしまうんですね。おっぱいにすっかり夢中になったあなたには刺激が強すぎる提案だったみたいです。,
さあ、それじゃあ挟んでイかせてしまいますね❤武器を捨てた分、たっぷり楽しんでください❤くすくす❤,
わたしの胸で挟んであげますね。体は固い岩で出来ていますが、ここだけはとてもやわらかいんです。,
ほら、むにむに、むにむに…❤敏感なペニスで、たっぷりおっぱいの柔らかさを味わってください❤,
わたしの胸に視線が吸い寄せられてますね。やっぱり気になっちゃいますか？。,
このおっぱいでパイズリされると天にも昇る心地よさですよ。さあたくさん扱いてあげます❤,
マスターさんも男である以上、おっぱいには弱いですよね？ほら、こんな風に谷間に挟んであげれば…❤,
気持ちよくてあっという間にとろけ顔…❤そのまま脱力していれば、ずっと気持ちいいままでいられますよ。ズリズリ、むにむに…❤,
男である以上、あなたもおっぱいには弱いですよね？ほら、こんな風に谷間に挟んであげれば…❤,
む、抵抗するんですね。それでもこうやって挟んでしまえば気が変わるんじゃないですか？,
ほら、ズリズリ❤ズリズリ❤ゴーレムとは思えない柔らかおっぱいを楽しんでください。,
くす❤わたしの胸で気持ちよくしてほしいのですか？\n胸の部分の防御を薄くしておくのは、やはり男性相手に効果的ですね❤,
それではあなたのことを抱きしめて、\nこの胸で喘がせてあげましょう❤\nわたしのカラダの一番やわらかい部分、存分に楽しんでください❤,
くす❤射精する瞬間に体をジタバタもがかせて、\nそんなに快楽が激しかったですか？\nでも、ぎゅって抱きしめてるから全然おっぱいから体を出せませんね❤,
あら、わたしでしこしこしてしまうんですか？こんなに大きい岩の体で、かわいい女の子とは全然違うのに…。,
でもだからこそ、どこを見て興奮してしまっているのかはわかりますよ❤このおっぱいで我慢できなくなっちゃったんですよね❤,
あぅぅ…❤,
うふふ、しごくスピードが速くなりました。おっぱいって言われてもっと興奮してしまったんですか？❤,
ほら、もっと見せつけてあげますよ❤このおっきい胸で、頭の中いっぱいにしちゃってください❤,
あっ…、あぁ…っ❤,
少しアピールするだけでもう限界って顔をしてしまって、かわいいですね❤,
とどめに、寄せ上げながら左右交互に揺らしてあげます❤パイズリしてるみたいじゃないですか？❤,
この深～い谷間でおちんちんずりずりされてるって想像しながら、出しちゃいましょうね❤,
イっちゃえ、変態さん❤,
う、あ、はぁぅ…❤,
あらあら、気持ちよさそうにこんなにたくさん出してしまって❤,
"男の人は""コレ""に弱すぎです❤",
まさかあなたも、わたしの胸で自慰をしてしまうのですか…？,
直接搾り取るならまだしも、思っていた以上にこの胸は男の人には刺激が強いみたいですね…。,
うぅ…っ❤,
そんなに食い入るように見つめてしまって❤,
せっかくですから、あなたにはわたしが胸を露出させている理由を教えてあげます❤,
当然、全身を岩で覆っていた方が防御力は高いんです。しかしそれでは、腕力などに優れた男の人に突破されてしまう時もありました…。,
でもおっぱいの部分をさらけ出してからは、それだけで男の人に勝ちっぱなしです❤,
途端に戦う相手の動きが鈍くなりましたし、攻撃で男の人を倒すよりも、おっぱいで射精させてしまう方がずっと早く戦闘不能にできるんです❤,
この腕で抱き上げてあげれば男の人のおちんちんはわたしのおっぱいの中に飲み込まれてしまいますし、その状態で動いてあげるとどんな人でもイってしまわれるんですよ❤,
柔らかいおっぱいで揉みくちゃにされたら みなさん我慢できないみたいです❤,
おや…？❤,
あっ、あぅ、あ…っ❤,
うふふ、男の人がどれだけおっぱいに弱いかを聞かされて、興奮しきっちゃっていますね❤,
"最後にあなたにも、実際に""体験""させてあげますよ…❤",
～～～～～っ！！❤,
自分で限界までしこしこしてしまったおちんちん、わたしのおっぱいに挟み潰されてしまってはちょっとオーバーキルだったかもしれません❤,
さぁ、胸の奥にエナジー、たっぷり出してください❤,
う、あっ、あぅぅ…っ❤,
……❤この量は想像以上です❤ごちそうさまでした❤,
く…っ！わたしの防御力を突破するなんて…！,
でも、あなたもなにやら辛そうなご様子。,
わかっていますよ、わたしのおっぱいを味わわされて、もうおちんちん限界なんですよね？,
わたしの腕でぎゅーってされちゃいましょ？ぎんぎんのおちんちん、思いっきり抱きしめてあげますよ…❤,
近づかれる前にとどめを刺した,
棒立ちになってしまった,
くぅ…！もう闘えません…。,
うふふ、やっぱりもう我慢の限界だったんですね❤,
ほら、わたしの大きい腕が腰に回されてしまいましたよ？これでもう逃げられません❤,
うぁ…っ❤,
こうやって抱きしめられると、おちんちんが柔らかいおっぱいに包まれてしまいますよね…❤,
男の人はこれだけで、たまらないんじゃないですか？❤,
く、う、あぁ…っ❤,
でも本当の責めはこれからです❤,
腕の力を強めたり弱めたりして、胸の感触をたっぷり味合わせてあげます❤,
弾力と柔らかさで頭がおかしくなっちゃいそうですよね❤もっと感じていいんですよ❤,
うぅぅ、もう…っ❤,
もう耐えられないみたいですね❤最後に思いっきり腕の力を強めてあげますから、おっぱいでおちんちん圧迫されて出しちゃってください❤,
イっちゃえ❤ぎゅーーっ❤,
この展開、前回と同じですよ？わたしにパイズリ提案されると我慢できなくなっちゃいますね❤くすくす❤,
せっかくいい展開だったのに、誘惑に負けてしまって逆転負けです❤ ……気持ちよかったですか？うふふ❤,
せっかくこの固い岩の体を追い詰めたのに、これでダメージも元通り❤,
おかげでまだまだ戦えます❤,
うぅ、防御力には自信があったのに、今日は手練れの方が多いみたいですね…。,
でもあなたも、さっきのを見ていたんじゃないですか？わたしを追い詰めた方がなにをされてしまったのかを❤,
ほら、あなたもしてほしいですよね…❤,
おっぱいへの自信もなくしちゃいそうです…。,
ふふ、やっぱり❤わたしと戦っている間、ズボンの下で大きくしちゃってましたもんね❤,
見逃してくれたお礼に、あなたのことも昇天させてあげます❤,
あ、あぁ…っ❤,
はい、ぎゅー❤みなさん本当にこれに弱いですね❤おちんちんにおっぱいを当てられたら、それだけでヘロヘロになってしまう❤,
もちろんあなたも、抱きしめるだけで終わりではないですよ？こうやって腕の力を強めたり体を揺らしたりして、パイズリの快感を味わってもらいます❤,
はひぃ…❤,
すっかり夢見心地みたいですね❤我慢しながら戦ってがちがちになってたおちんちん、やわらかーいおっぱいに揉みほぐされたらたまりませんよね❤,
ほら、あなたもイかせてあげます❤大きなおっぱいに射精催促されて、敵モンスターにエナジー吐き出しちゃってください❤,
うふふ、谷間の中にこんなにたっぷり❤,
どんなに一生懸命追い詰めても、おっぱいにどぴゅどぴゅしてしまえば男の人の逆転負けです❤,
自慰をしてしまい自滅…❤露出してたおっぱい、そんなに気になりましたか？くすくす❤,
こんなにたくさん出して…❤おっぱいに挟まれたらやっぱり男は耐えられないんですね❤くすくす❤,
ムニンが繰り出した女性モンスターの胸に吐精してしまった僕は、体に力を入れることも出来ずに地面に膝をついていた。,
あ～あ～、うちの子のおっぱいにこんなに吐き出してくれちゃって❤,
おちんちん我慢できなかったんだ？\nこれだから男ってチョロいのよ、ざーこ❤,
せっかくだから、もっと気持ちよくしてもらいなよ❤\nねぇゴーレム。わたしはちょっと買い物でもしてくるから、\nお兄さんでエナジー回復してていいよ❤,
はい。わかりました、マスター。,
目を細めてこちらを小馬鹿にしたように一瞥してから、通りの方へと消えていくムニン。,
マスターの少女が立ち去ると、早速とばかりにゴーレムは大きな腕で僕を持ち上げてきた。脱力した体では抵抗することもできずに、深い胸元へとペニスを飲み込まれてしまう。,
巨大な体格の彼女の胸の感触に、射精したばかりにも関わらずペニスは いともたやすく硬度を取り戻した。,
ふふ❤また大きくしてしまっていますね❤マスターもああ仰ってくださったので、このままエナジー補給させていただきます❤,
あぁ…っ❤,
ゴーレムが腕や体を動かすと、おっぱいに挟み込まれたペニスに抗えない快感が走る。一度 射精してしまい敏感になった体に、ゴーレムのヒトの大きさを超えた爆乳は堪えられるものではなかった。,
気持ちいいですか？❤こんなに大きなおっぱいにおちんちんを包まれてしまったら、男の人はもうたまらないですよね❤,
深い谷間の中で、たっぷりの乳肉が四方八方から絡みついてくるでしょう。これでたくさんのペニスを射精させてきたんですよ❤,
あ…うぁ…❤,
早速出してしまいそうになってますね❤ほら、腰に回した腕をぎゅーって強くして乳圧上げてあげますから、またイっちゃってください❤,
あうぅ、こんなの…っ❤,
うぅ…❤,
つい先ほどバトル中に射精したばかりなのに、いいエナジーを出しますね❤気に入りました、このままあと数回は搾り取らせてもらいます❤,
待っ、今はむり…っ❤,
無理じゃないですよ❤わたしの胸で挟まれれば、どんな方でも連続でおもらししてしまいますから❤,
ほらほら、ゴーレムの大きな体で掴まえられて身動きできない状態で受けるパイズリはいかがですか❤,
どんなに激しく抵抗しても、おちんちんをもみくちゃにされながらではわたしの拘束を振りほどくことはできませんよ❤,
はぅぁ…❤,
うふふ、力が抜けちゃいますよね❤手強い人が相手の時は、おっぱいでふにゃふにゃにしてあげるのが得意技なんです❤,
わたしの岩の体を崩すような怪力の持ち主でも、おっぱいを使えばイチコロ❤,
もっともっと気持ちよくなってしまっていいですよ❤既に２回もわたしに出してしまったあなたが、耐えられるはずがありません❤,
あひぃ、うぅ…っ❤,
そろそろ３回目の射精、してしまいそうですね❤では次に戦う時のことも考えて、癖になってしまうほど強烈なやつをシてあげます❤,
ほぉら、ゴーレムの腕で体を激しく揺さぶられるのはどうですか？❤まるで腰全体がおっぱいに咀嚼されているようで、こんな風にされてしまったら男の人は絶対におかしくなってしまいますよね❤,
このままわたしのおっぱいの奥に、思いっきり吐き出しちゃいましょう？ほら、ほぉら…❤,
うぁ、うぅぅうぅ…っ❤,
お兄さんも間違いなく才能あるマスターさんでしたのに、男の人はおっぱいがあるだけでとことん弱くなってしまいますね❤,
さぁ、とどめの抱きしめでイってしまってください❤大事なエナジー出しちゃえ❤,
あ、あ、ああぁうぅぅあ…っ❤  ……っ❤,
あらあら、そんなに腰を震わせて出し切ってしまって❤わたしのおっぱいに弱くなってしまっても知りませんよ？,
……まだマスターは帰ってきませんね。あともう少し、わたしに抱きかかえられたままエナジー出しちゃいましょうか…❤,
うぁ…❤,
うわ、すごい量。ゴーレムのおっぱいが真っ白じゃん！こんなにうちの子に搾り取られちゃって、もうお兄さん、わたしには勝てないかもね❤,
女性モンスターに拘束されたまま その胸元に大量にエナジーを放出してしまい、数十分越しに解放されると同時に僕は意識を手放した…。,
ゴーレムのパイズリに弱くなってしまった,
